name	charge	inchikey
Cysteine	0	XUJNEKJLAYXESH-REOHCLBHSA-N
Acetate	-1	QTBSBXVTEAMEQO-UHFFFAOYSA-M
Cysteine	0	XUJNEKJLAYXESH-REOHCLBHSA-N
Hydrogen sulfide	0	RWSOTUBLDIXVET-UHFFFAOYSA-N
Cysteine	0	XUJNEKJLAYXESH-REOHCLBHSA-N
Acetate	-1	QTBSBXVTEAMEQO-UHFFFAOYSA-M
4-Aminobutyrate	0	BTCSSZJGUNDROE-UHFFFAOYSA-M
4-Aminobutyrate	0	BTCSSZJGUNDROE-UHFFFAOYSA-M
Succinate semialdehyde	-1	UIUJIQZEACWQSV-UHFFFAOYSA-M|UIUJIQZEACWQSV-UHFFFAOYSA-N
Glutamine	0	ZDXPYRJPNDTMRX-VKHMYHEASA-N
Threonine	0	AYFVYJQAPQTCCC-GBXIJSLDSA-N
Acetaldehyde	0	IKHGUXGNUITLKF-UHFFFAOYSA-N
Glycine	0	DHMQDGOQFOQNFH-UHFFFAOYSA-N
Glyoxylate	-1	HHLFWLYXYJOTON-UHFFFAOYSA-N
Hydrogen peroxide	0	MHAJPDPJQMAIIY-UHFFFAOYSA-N
Glycine	0	DHMQDGOQFOQNFH-UHFFFAOYSA-N
Hydroxypyruvate	-1	HHDDCCUIIUWNGJ-UHFFFAOYSA-N
5-Phosphoribosyl-ATP	-6	RKNHJBVBFHDXGR-KEOHHSTQSA-H
5-Phosphoribosyl-AMP	-4	RTQMRTSPTLIIHM-KEOHHSTQSA-N|RTQMRTSPTLIIHM-KEOHHSTQSA-J
1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	-4	QOUSHGMTBIIAHR-KEOHHSTQSA-J
5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide	-4	BLKFNHOCHNCLII-GHVQHMAVSA-N
Erythro-1-imidazol-4-glycerol 3-phosphate	-2	HFYBTHCYPKEDQQ-RITPCOANSA-N
5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	-1	NOTGFIUVDGNKRI-UUOKFMHZSA-N|NOTGFIUVDGNKRI-UUOKFMHZSA-L
Imidazole acetol-phosphate	-2	YCFFMSOLUMRAMD-UHFFFAOYSA-N
Histidinol phosphate	-1	CWNDERHTHMWBSI-YFKPBYRVSA-N
Histidinol	1	ZQISRDCJNBUVMM-YFKPBYRVSA-N|ZQISRDCJNBUVMM-UHFFFAOYSA-N
Histidinal	0	VYOIELONWKIZJS-YFKPBYRVSA-N|VYOIELONWKIZJS-YFKPBYRVSA-O
Histidine	0	HNDVDQJCIGZPNO-YFKPBYRVSA-N
Threonine	0	AYFVYJQAPQTCCC-GBXIJSLDSA-N
2-Oxobutanoate	-1	TYEYBOSBBBHJIV-UHFFFAOYSA-M
Thiamine pyrophosphate	-3	AYEKOFBPNLCAJY-UHFFFAOYSA-L
2-(alpha-Hydroxyethyl)thiamine diphosphate	-3	RRUVJGASJONMDY-UHFFFAOYSA-O
2-Aceto-2-hydroxybutanoate	-1	VUQLHQFKACOHNZ-UHFFFAOYSA-N
(R)-3-Hydroxy-3-methyl-2-oxopentanoate	-1	YJVOWRAWFXRESP-ZCFIWIBFSA-M
2,3-Dihydroxy-3-methylpentanoate	-1	PDGXJDXVGMHUIR-UJURSFKZSA-M
3-Methyl-2-oxopentanoate	-1	JVQYSWDUAOAHFM-UHFFFAOYSA-N
Isoleucine	0	AGPKZVBTJJNPAG-WHFBIAKZSA-N
2-Acetolactate	-1	NMDWGEGFJUBKLB-UHFFFAOYSA-N
3-Hydroxy-3-methyl-2-oxobutanoic acid	-1	DNOPJXBPONYBLB-UHFFFAOYSA-N
2,3-Dihydroxy-3-methylbutanoate	-1	JTEYKUFKXGDTEU-VKHMYHEASA-M
3-Methyl-2-oxobutanoate	-1	QHKABHOOEWYVLI-UHFFFAOYSA-N|QHKABHOOEWYVLI-UHFFFAOYSA-M
2-Isopropylmalate	-2	BITYXLXUCSKTJS-ZETCQYMHSA-N
2-Isopropylmaleate	-2	NJMGRJLQRLFQQX-HYXAFXHYSA-N
3-Isopropylmalate	-2	RNQHMTFBUSSBJQ-CRCLSJGQSA-N
2-Isopropyl-3-oxosuccinate	-2	HIIZAGQWABAMRR-BYPYZUCNSA-N
4-Methyl-2-oxopentanoate	-1	BKAJNAXTPSGJCU-UHFFFAOYSA-N|BKAJNAXTPSGJCU-UHFFFAOYSA-M
