Reactions that produce compound from New SmartTable with CO2	Matches	EC-Number	METANETX	Spontaneous?	In-Pathway	Object ID	Data-Source	Regulated-By	Requirements
RXN-13824	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR140356</a>		PWY-7376 // 2.1.1.132-RXN	RXN-13824			
RXN-9759	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR122980</a>		PWY-6054	RXN-9759			
RXN-9756	CARBON-DIOXIDE	EC-4.1.1.M23	<a href='https://www.metanetx.org/equa_info/~A'>MNXR122977</a>		PWY-6055	RXN-9756			
RXN-11171	CARBON-DIOXIDE	EC-2.3.1.208	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113539</a>		PWY-6418	RXN-11171			
RXN-11736	CARBON-DIOXIDE	EC-4.1.1.91	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112958</a>		PWY-6636	RXN-11736			
SALICYLATE-1-MONOOXYGENASE-RXN	CARBON-DIOXIDE	EC-1.14.13.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106704</a>		PWY-6183	SALICYLATE-1-MONOOXYGENASE-RXN			
RXN-14406	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR96051</a>		PWY-6141	RXN-14406			
RXN-20027	CARBON-DIOXIDE	EC-1.14.11.60				RXN-20027			
RXN-12731	CARBON-DIOXIDE	EC-4.1.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR117717</a>		PWY-6935	RXN-12731			
RXN-15805	CARBON-DIOXIDE	EC-4.1.1.111	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119635</a>		PWY-7552 // PWY-7554	RXN-15805			
RXN-19210	CARBON-DIOXIDE	EC-4.1.1.106				RXN-19210			
RXN-13244	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117967</a>			RXN-13244			
RXN-17186	CARBON-DIOXIDE	EC-2.3.1.252	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120726</a>			RXN-17186			
RXN-20396	CARBON-DIOXIDE	EC-2.3.1.50			SPHINGOLIPID-SYN-PWY	RXN-20396			
RXN-17184	CARBON-DIOXIDE	EC-2.3.1.111	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120724</a>			RXN-17184			
STIPITATONATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.60	<a href='https://www.metanetx.org/equa_info/~A'>MNXR139223</a>		PWY-7687	STIPITATONATE-DECARBOXYLASE-RXN			
RXN0-299	CARBON-DIOXIDE	EC-1.14.11.17	<a href='https://www.metanetx.org/equa_info/~A'>MNXR104730</a>		PWY0-981	RXN0-299			
RXN-8147	CARBON-DIOXIDE	EC-1.14.11.31	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109337</a>		PWY-5270	RXN-8147			
RXN-8149	CARBON-DIOXIDE	EC-1.14.11.32	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109338</a>		PWY-5270	RXN-8149			
THYMINE-DIOXYGENASE-RXN	CARBON-DIOXIDE	EC-1.14.11.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106977</a>			THYMINE-DIOXYGENASE-RXN			
RXN-19902	CARBON-DIOXIDE	EC-4.1.1.113			PWY-8018	RXN-19902			
RXN-21278	CARBON-DIOXIDE	EC-4.1.1.M22			PWY-8125	RXN-21278			
RXN-21078	CARBON-DIOXIDE	EC-4.1.1.102				RXN-21078			
RXN-20964	CARBON-DIOXIDE	EC-2.3.1.M86				RXN-20964			
RXN-20998	CARBON-DIOXIDE				PWY-8103 // RXN-20964	RXN-20998			
RXN-11255	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR116808</a>		PWY-6438	RXN-11255			
RXN-20996	CARBON-DIOXIDE				PWY-5059 // RXN-7645	RXN-20996			
RXN-19074	CARBON-DIOXIDE	EC-4.1.1			PWY-7931	RXN-19074			
UDP-GALACTURONATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.67	<a href='https://www.metanetx.org/equa_info/~A'>MNXR124086</a>			UDP-GALACTURONATE-DECARBOXYLASE-RXN			
UDP-GLUCURONATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.35	<a href='https://www.metanetx.org/equa_info/~A'>MNXR105068</a>		PWY-4821	UDP-GLUCURONATE-DECARBOXYLASE-RXN			
RXN-7770	CARBON-DIOXIDE	EC-4.1.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106963</a>		PWY-5113	RXN-7770			
RXN0-1861	CARBON-DIOXIDE	EC-1.1.1.305	<a href='https://www.metanetx.org/equa_info/~A'>MNXR105064</a>		PWY0-1338	RXN0-1861			
RXN-14397	CARBON-DIOXIDE	EC-1.14.11.49	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114356</a>			RXN-14397			
RXN-10935	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR116596</a>		PWY-6141	RXN-10935			
URACIL-5-CARBOXYLATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.66	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106767</a>			URACIL-5-CARBOXYLATE-DECARBOXYLASE-RXN			
UREASE-RXN	CARBON-DIOXIDE	EC-3.5.1.5	<a href='https://www.metanetx.org/equa_info/~A'>MNXR105153</a>		PWY-5704	UREASE-RXN			
RXN-20064	CARBON-DIOXIDE				PWY-8025	RXN-20064			
ALLOPHANATE-HYDROLASE-RXN	CARBON-DIOXIDE	EC-3.5.1.54	<a href='https://www.metanetx.org/equa_info/~A'>MNXR95786</a>			ALLOPHANATE-HYDROLASE-RXN			
URETHANASE-RXN	CARBON-DIOXIDE	EC-3.5.1.75	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107461</a>			URETHANASE-RXN			
RXN-10642	CARBON-DIOXIDE	EC-4.1.1.37	<a href='https://www.metanetx.org/equa_info/~A'>MNXR105141</a>			RXN-10642			
UROGENDECARBOX-RXN	CARBON-DIOXIDE	EC-4.1.1.37	<a href='https://www.metanetx.org/equa_info/~A'>MNXR105140</a>		HEME-BIOSYNTHESIS-II-1	UROGENDECARBOX-RXN			
RXN-17381	CARBON-DIOXIDE	EC-1.14.11.52	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114637</a>		PWY-5818	RXN-17381			
RXN-18623	CARBON-DIOXIDE	EC-1.14.11.20			PWY-5292	RXN-18623			
RXN-13343	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR114436</a>	T	PWY-7040	RXN-13343			
RXN-15841	CARBON-DIOXIDE	EC-1.14.11.48	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114231</a>			RXN-15841			
RXN-22278	CARBON-DIOXIDE				PWY-8249	RXN-22278			
RXN-21275	CARBON-DIOXIDE	EC-1.14.11.72			PWY-8124	RXN-21275			
RXN-9777	CARBON-DIOXIDE	EC-7.2.4.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR122990</a>		PWY-6060	RXN-9777			
