Reactions that produce compound from New SmartTable with CO2	Matches	EC-Number	METANETX	Spontaneous?	In-Pathway	Object ID	Data-Source	Regulated-By	Requirements
RXN-21367	CARBON-DIOXIDE	EC-3.5.1.M21				RXN-21367			
RXN-14071	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR118508</a>		PWY-7186	RXN-14071			
RXN-801	CARBON-DIOXIDE	EC-4.1.1.102	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114373</a>			RXN-801			
RXN-21156	CARBON-DIOXIDE				PWY-6432 // RXN-11225	RXN-21156			
RXN-21155	CARBON-DIOXIDE				PWY-6432 // RXN-11226	RXN-21155			
RXN-12349	CARBON-DIOXIDE	EC-1.14.11.61	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114842</a>		PWY-7398 // PWY-6792	RXN-12349			
RXN-11224	CARBON-DIOXIDE	EC-2.3.1.217	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112302</a>			RXN-11224			
RXN-11226	CARBON-DIOXIDE	EC-2.3.1.217	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112304</a>			RXN-11226			
RXN-11221	CARBON-DIOXIDE	EC-2.3.1.218	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112300</a>		PWY-6432	RXN-11221			
RXN-18848	CARBON-DIOXIDE				1.13.12.7-RXN // PWY-7913	RXN-18848			
RXN-21369	CARBON-DIOXIDE	EC-3.5.1.M21				RXN-21369			
RXN-21040	CARBON-DIOXIDE	EC-2.2.1.3				RXN-21040			
RXN0-3281	CARBON-DIOXIDE	EC-1.17.98.4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123169</a>		FHLMULTI-RXN // PWY-7616	RXN0-3281			
RIBONUCLEOSIDE-TRIP-REDUCT-RXN	CARBON-DIOXIDE	EC-1.1.98.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR116254</a>			RIBONUCLEOSIDE-TRIP-REDUCT-RXN			
RXN-11237	CARBON-DIOXIDE	EC-1.17.5.3	<a href='https://www.metanetx.org/equa_info/~A'>MNXR116792</a>			RXN-11237			
RXN-15617	CARBON-DIOXIDE	EC-1.17.98.3	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119493</a>			RXN-15617			
RXN-12274	CARBON-DIOXIDE	EC-1.17.98.4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR117458</a>			RXN-12274			
RXN0-745	CARBON-DIOXIDE	EC-1.1.98.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123413</a>		PWY-7220	RXN0-745			
RXN0-723	CARBON-DIOXIDE	EC-1.1.98.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123403</a>		PWY0-166	RXN0-723			
RXN0-746	CARBON-DIOXIDE	EC-1.1.98.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123414</a>		PWY-7222	RXN0-746			
FHLMULTI-RXN	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR99594</a>		PWY-6772 // PWY-8086 // FERMENTATION-PWY	FHLMULTI-RXN			
